a_wl b_wl dcatch_dlai dqcrit dz0v_dh g_area g_grow g_wood lai_max lai_min nl0 nr_nl r_grow rootd_ft sigl tleaf_of tlow tupp
1.23418 2.4755 0.8829 0.081035 0.10088 0.0069385 20.0000 0.018362 6.4806 3.3717 0.043810 1.28788 0.4013 1.5016 0.082238 243.15 6.0796 23.3533 
0.53903 2.6788 1.9440 0.076553 0.03998 0.0067237 20.0000 0.013210 13.5743 5.7745 0.041860 0.97810 0.3460 0.9265 0.083243 243.15 -24.5870 19.2529 
0.55005 3.2671 1.2187 0.042961 0.05004 0.0039412 20.0000 0.015276 16.7633 4.1890 0.021701 1.05746 0.2789 2.3237 0.101605 243.15 0.2900 19.1229 
0.70509 1.3720 0.9351 0.057507 0.09296 0.0052613 20.0000 0.019499 16.8024 1.7457 0.017035 1.29403 0.4160 2.6665 0.092559 243.15 -18.6294 15.8901 
0.73571 2.3312 1.5338 0.065758 0.08421 0.0054191 20.0000 0.017724 16.9968 4.9739 0.029695 1.95335 0.2859 1.2341 0.154950 243.15 3.1918 29.4864 
0.52675 2.0662 0.7713 0.088656 0.13584 0.0062796 20.0000 0.008990 12.8303 5.9572 0.042619 1.70972 0.3340 2.7757 0.050525 243.15 -7.0607 19.0579 
0.35923 3.0957 1.1009 0.043861 0.02262 0.0060462 20.0000 0.007067 17.6368 5.6859 0.018728 1.89319 0.2392 1.7044 0.104020 243.15 -20.5056 30.4140 
0.97997 2.5578 1.4733 0.056625 0.03509 0.0054563 20.0000 0.013116 17.5653 5.8519 0.018345 0.55566 0.4281 1.0611 0.119757 243.15 -0.5851 39.0199 
1.03819 1.3827 1.9620 0.073180 0.01288 0.0059016 20.0000 0.011559 7.9631 5.8209 0.017124 1.11476 0.3168 2.2944 0.080723 243.15 -7.9953 39.6600 
0.92117 2.9257 1.9594 0.031974 0.09940 0.0059598 20.0000 0.017088 5.2655 2.6337 0.020071 1.38719 0.2486 1.8904 0.159151 243.15 -12.6508 20.6331 
0.33758 2.9766 0.2932 0.060033 0.01746 0.0023342 20.0000 0.013681 12.4914 2.3249 0.040975 1.88734 0.2811 1.1503 0.098920 243.15 -19.6235 21.8207 
0.96486 2.8016 0.4306 0.084305 0.02827 0.0042832 20.0000 0.019938 14.0239 2.2160 0.037153 1.35824 0.4358 1.0816 0.197810 243.15 0.9866 35.6446 
0.79665 3.0768 1.5462 0.036937 0.11724 0.0053723 20.0000 0.012162 11.9136 4.9361 0.043137 0.88284 0.3026 1.1698 0.193804 243.15 -24.3839 39.2999 
0.50383 2.9151 1.6826 0.082631 0.06216 0.0056616 20.0000 0.017414 7.8969 2.5261 0.048827 1.34278 0.3552 0.7063 0.139844 243.15 -18.9164 27.0987 
0.47702 2.8056 0.4636 0.035575 0.11558 0.0034953 20.0000 0.019628 9.5725 4.7061 0.027279 1.63696 0.2402 1.2813 0.066847 243.15 7.4587 27.1862 
1.27728 1.3580 1.1115 0.049604 0.12030 0.0030141 20.0000 0.009512 7.5324 3.6980 0.032302 1.52130 0.3854 1.1973 0.079133 243.15 1.2141 18.1328 
0.35347 2.0228 1.9376 0.083159 0.06347 0.0029343 20.0000 0.018725 17.5288 5.2574 0.023682 1.12196 0.2035 0.6725 0.063591 243.15 -14.0334 27.2637 
0.66775 2.0813 1.9116 0.057957 0.04597 0.0049199 20.0000 0.017450 6.2727 5.5837 0.025035 1.78698 0.1859 2.4827 0.187474 243.15 0.6961 35.4770 
0.74078 1.3694 0.3942 0.073378 0.05725 0.0038116 20.0000 0.005087 5.9811 5.5576 0.042995 1.60966 0.2442 1.2186 0.176493 243.15 -9.5600 31.8242 
0.55473 2.1586 0.6017 0.059025 0.08012 0.0020456 20.0000 0.005852 12.9532 3.1589 0.025483 1.30483 0.3628 2.8205 0.152295 243.15 -24.0724 15.2875 
0.83585 1.7311 1.1991 0.048368 0.14019 0.0077792 20.0000 0.013479 10.9104 2.4028 0.031612 0.66757 0.1531 2.7785 0.099535 243.15 -13.4138 18.4053 
0.49194 2.2380 1.0467 0.067864 0.05916 0.0026421 20.0000 0.013078 16.5027 1.7282 0.048035 0.63366 0.2029 1.9721 0.095350 243.15 4.0844 30.8816 
1.12819 1.9874 0.0730 0.068842 0.14434 0.0049595 20.0000 0.008669 13.8497 5.4068 0.016701 1.12931 0.3696 2.9222 0.142574 243.15 -10.9916 25.4835 
0.85789 2.6692 0.4342 0.077963 0.06073 0.0064530 20.0000 0.010621 4.9793 5.2898 0.023870 1.18662 0.2108 1.1648 0.090924 243.15 2.5373 16.5252 
0.89475 1.7037 0.5979 0.069322 0.07863 0.0046583 20.0000 0.015368 6.7993 2.0311 0.046064 1.77633 0.1902 1.4398 0.097330 243.15 -10.5226 37.0747 
0.70997 1.9623 1.3095 0.039337 0.11201 0.0059304 20.0000 0.012246 16.2340 5.1517 0.032995 1.44509 0.2232 2.9110 0.183408 243.15 6.9162 37.0097 
0.64425 1.8924 0.4212 0.044665 0.13810 0.0032127 20.0000 0.008548 16.0221 5.1499 0.029394 1.53075 0.2918 2.4762 0.127483 243.15 -10.1235 30.9391 
1.00026 2.0437 1.9306 0.042571 0.11918 0.0046133 20.0000 0.015092 7.0288 3.0788 0.037942 1.56316 0.3472 1.8501 0.179823 243.15 -24.6220 29.1989 
0.48053 3.3031 1.1565 0.089436 0.08914 0.0035710 20.0000 0.013843 9.8573 4.4572 0.036873 1.62541 0.4267 2.3934 0.143834 243.15 5.9256 38.4923 
1.28333 2.2520 1.3019 0.074776 0.01861 0.0028335 20.0000 0.013731 13.9752 2.0396 0.034256 1.69442 0.4423 2.9417 0.073537 243.15 -10.2250 29.8590 
1.29161 2.8906 0.0200 0.057057 0.09670 0.0071977 20.0000 0.005638 13.5918 1.8731 0.039922 1.51005 0.3862 0.9375 0.067237 243.15 1.4976 25.4160 
0.78125 1.8016 0.6755 0.043771 0.03635 0.0027057 20.0000 0.015138 14.1872 2.2052 0.017417 1.56781 0.1767 1.8686 0.195170 243.15 4.0039 37.4072 
1.00542 2.5711 1.3711 0.087594 0.07179 0.0034455 20.0000 0.013546 16.3515 5.5333 0.049450 1.02145 0.1736 0.9860 0.125968 243.15 -3.2838 26.9337 
0.91610 2.6860 0.2594 0.045884 0.04225 0.0055062 20.0000 0.018224 13.4257 3.4905 0.044926 0.80468 0.2242 2.0054 0.145725 243.15 -5.5101 26.3036 
1.18845 2.2496 0.0398 0.089778 0.12450 0.0073969 20.0000 0.017525 6.5711 4.6512 0.040800 1.65452 0.2194 2.6815 0.113531 243.15 -2.9023 29.8890 
0.51914 2.6884 1.0915 0.082307 0.11589 0.0041620 20.0000 0.018606 9.1296 4.5617 0.043447 1.16127 0.1748 2.1897 0.165227 243.15 -20.0645 16.5427 
0.71426 3.1289 0.9047 0.064605 0.07355 0.0044830 20.0000 0.016041 11.2466 2.9068 0.044140 1.57861 0.4395 1.8049 0.152670 243.15 0.4580 15.5126 
0.81577 2.7282 1.3881 0.078701 0.13635 0.0069181 20.0000 0.007664 14.8515 5.3281 0.045361 1.94899 0.3420 1.0413 0.155431 243.15 -8.0968 22.1957 
0.71972 2.1357 1.9680 0.047840 0.11297 0.0052319 20.0000 0.019163 17.2250 5.5108 0.039177 1.80513 0.4745 1.2578 0.069082 243.15 2.3657 33.9869 
0.88685 1.9698 0.7243 0.045320 0.08481 0.0025821 20.0000 0.016805 11.0684 2.9613 0.028153 0.93954 0.3127 1.4031 0.189289 243.15 -12.0767 34.3019 
0.87417 1.9442 0.8073 0.034680 0.04346 0.0042082 20.0000 0.010218 11.5140 3.5275 0.047781 1.88869 0.3828 2.6252 0.099835 243.15 -7.3967 17.1152 
1.25212 3.1160 1.5002 0.068698 0.08517 0.0023972 20.0000 0.018783 12.6305 5.2399 0.042708 1.88224 0.1514 2.6242 0.196775 243.15 1.8197 22.5008 
0.82669 1.6451 1.4365 0.070210 0.02851 0.0043468 20.0000 0.018123 14.5531 1.6926 0.038952 1.19562 0.1440 1.9531 0.130978 243.15 9.6605 20.1130 
0.81265 3.1785 1.9764 0.048122 0.14371 0.0064902 20.0000 0.008269 14.7435 1.9406 0.046724 1.67942 0.4676 0.5418 0.130753 243.15 5.2500 15.2575 
0.86998 2.4662 0.9157 0.052886 0.11339 0.0061500 20.0000 0.016683 7.7511 3.1310 0.029163 1.15347 0.1296 1.5461 0.069802 243.15 9.9685 30.9841 
1.01469 2.0481 1.1271 0.065650 0.07002 0.0028719 20.0000 0.013252 6.6940 5.6413 0.031929 1.34713 0.2701 2.2187 0.146310 243.15 9.3174 32.6268 
1.17909 1.4377 1.8160 0.035335 0.08116 0.0021260 20.0000 0.010912 12.7250 4.1683 0.030163 1.46865 0.2962 0.6298 0.103135 243.15 -3.1508 34.8045 
0.63362 3.0583 0.2466 0.051848 0.05107 0.0032649 20.0000 0.006949 11.6908 2.2615 0.016840 1.33768 0.2318 2.3532 0.198155 243.15 -15.4125 36.5397 
1.02073 3.1974 0.1836 0.050858 0.01013 0.0052343 20.0000 0.008003 15.4982 1.8533 0.047117 0.56091 0.4339 1.9596 0.197225 243.15 8.5509 31.6867 
0.93795 3.2605 1.7046 0.053390 0.12396 0.0033237 20.0000 0.006001 12.3321 4.0284 0.042193 0.85479 0.2915 0.7240 0.190999 243.15 8.3618 31.8792 
0.63401 1.9581 0.6941 0.056889 0.12067 0.0072289 20.0000 0.011682 8.1724 5.3402 0.048005 1.44959 0.1996 1.9194 0.054995 243.15 -0.3750 35.7796 
1.07739 1.9742 1.4271 0.051026 0.01315 0.0020942 20.0000 0.013173 8.1116 5.6265 0.044520 1.81143 0.1273 1.6231 0.060891 243.15 -21.3491 37.4597 
1.22667 2.1681 0.9541 0.037729 0.09625 0.0051533 20.0000 0.005609 6.3861 3.4869 0.036985 1.14041 0.4332 2.3814 0.075083 243.15 -21.2476 26.6462 
0.69905 1.6871 0.0496 0.039655 0.01063 0.0031359 20.0000 0.015245 13.8996 3.0365 0.034124 1.41449 0.3872 1.2393 0.103600 243.15 7.5743 36.1696 
0.93590 3.0931 0.0146 0.049724 0.14924 0.0030849 20.0000 0.014041 12.3821 5.7534 0.047272 1.43489 0.3325 0.5928 0.102880 243.15 5.8626 37.2597 
0.81138 2.9585 0.1562 0.045506 0.13958 0.0043732 20.0000 0.012612 11.8650 1.9649 0.049074 1.81263 0.1415 1.8581 0.123777 243.15 -24.2824 21.7932 
0.45625 2.4248 0.1004 0.046154 0.11169 0.0048731 20.0000 0.006475 7.1544 4.9104 0.028365 1.86184 0.4460 1.0318 0.154140 243.15 -7.9568 17.0602 
1.22199 3.3296 1.0379 0.060807 0.10574 0.0072397 20.0000 0.007403 10.6904 3.6395 0.047441 1.35869 0.2830 2.9092 0.106931 243.15 -4.7050 15.1950 
0.85175 2.2034 0.5083 0.074890 0.08053 0.0076184 20.0000 0.018642 7.4946 2.9743 0.035543 1.73777 0.3837 0.6100 0.087579 243.15 1.3926 38.5549 
1.20142 2.8956 0.7659 0.036793 0.01392 0.0068359 20.0000 0.012312 11.1251 2.7817 0.025873 1.17912 0.1554 1.7306 0.175383 243.15 -14.4149 33.2743 
0.59491 3.1524 1.7370 0.075707 0.11232 0.0021026 20.0000 0.014232 14.3627 5.9829 0.048417 1.94374 0.4756 0.5060 0.180303 243.15 -1.7262 36.0171 
0.67194 2.4415 1.8524 0.064785 0.04562 0.0077258 20.0000 0.012579 5.2142 3.1071 0.030134 0.50210 0.4066 2.4452 0.176793 243.15 -10.8586 18.6029 
0.96340 2.5434 1.8878 0.045764 0.07578 0.0056478 20.0000 0.010006 13.3690 2.7237 0.024886 0.61296 0.4806 0.9055 0.077243 243.15 -2.0622 32.4692 
0.75375 2.9024 0.0314 0.033918 0.04884 0.0075386 20.0000 0.014982 14.8137 3.6814 0.027408 1.84293 0.2661 2.7855 0.084998 243.15 -16.1546 32.2267 
0.38877 3.0491 1.8678 0.067162 0.01195 0.0074653 20.0000 0.005707 17.3789 5.5693 0.049008 1.82448 0.3370 1.4371 0.118857 243.15 3.3703 24.6885 
1.07895 2.7148 0.5831 0.034218 0.09762 0.0068989 20.0000 0.006268 4.9253 1.8033 0.019955 1.07606 0.1365 1.6981 0.057621 243.15 -8.2998 29.3664 
0.98066 2.2934 0.2002 0.038239 0.06636 0.0031887 20.0000 0.018870 16.4892 3.1197 0.027553 0.96745 0.3045 2.7492 0.145140 243.15 -13.1828 24.6210 
0.92985 1.9300 1.6454 0.079847 0.06916 0.0049415 20.0000 0.010869 16.8429 5.6913 0.040111 0.81803 0.1969 1.1118 0.063921 243.15 -20.1870 30.5616 
0.42612 1.5219 1.2983 0.057783 0.04159 0.0060012 20.0000 0.007270 8.0954 2.8560 0.040210 0.84068 0.2645 2.0282 0.137819 243.15 -1.9607 32.1142 
0.91269 3.1172 0.0028 0.071242 0.10511 0.0051701 20.0000 0.017678 11.6476 3.8065 0.032645 1.42379 0.3230 0.7755 0.132058 243.15 -23.4598 24.8435 
1.24403 2.6943 0.6089 0.032748 0.02012 0.0063606 20.0000 0.008837 7.9388 3.8506 0.018444 0.57561 0.4003 1.8176 0.061821 243.15 -6.3326 23.8834 
0.59120 2.4857 1.7834 0.079535 0.12882 0.0022100 20.0000 0.012075 7.7187 3.1917 0.034381 1.54590 0.4548 2.6107 0.178968 243.15 -24.8005 34.4019 
0.53026 1.7208 0.9205 0.067390 0.06881 0.0025845 20.0000 0.007192 10.6593 1.5518 0.027111 0.88989 0.1404 2.1674 0.101830 243.15 -24.1669 17.6853 
0.76048 1.8422 0.4590 0.054170 0.01370 0.0020126 20.0000 0.005285 17.4221 4.4023 0.042404 0.68347 0.3450 1.9791 0.191704 243.15 -3.6339 31.5117 
0.78466 2.5249 1.4627 0.038551 0.06428 0.0071491 20.0000 0.011199 6.0851 5.9406 0.040616 1.45050 0.1351 2.2752 0.184218 243.15 1.3016 38.0273 
0.91094 2.0182 0.3226 0.067240 0.13478 0.0059340 20.0000 0.008443 6.7169 4.3398 0.017322 1.21482 0.1451 2.8845 0.192949 243.15 -16.4381 35.2320 
1.24081 3.1903 1.3411 0.037339 0.09143 0.0077534 20.0000 0.005143 13.7430 3.8240 0.025444 1.91224 0.3734 2.7970 0.082043 243.15 -16.0636 29.2689 
0.53816 3.0433 0.0846 0.076313 0.10543 0.0021392 20.0000 0.018186 6.5387 2.4851 0.028787 1.23447 0.3195 1.2518 0.128038 243.15 -0.0320 30.1365 
1.26958 2.7766 0.3334 0.042781 0.06448 0.0032313 20.0000 0.017903 7.2664 4.4653 0.022302 1.17342 0.4693 2.0074 0.134188 243.15 -19.8720 28.8864 
1.27952 1.4530 1.4333 0.069550 0.14832 0.0034335 20.0000 0.016649 7.6161 2.7034 0.031203 1.24872 0.4136 2.0914 0.056421 243.15 -17.1172 18.7704 
0.59871 1.8713 0.9883 0.061791 0.02763 0.0038890 20.0000 0.017856 6.4442 4.3200 0.021510 1.71512 0.1584 1.1788 0.121812 243.15 -6.6862 31.5467 
0.53309 1.6555 1.0103 0.056457 0.13247 0.0048971 20.0000 0.014266 8.8933 4.0126 0.046866 0.75368 0.1282 1.6179 0.150045 243.15 -5.8426 28.8939 
0.77140 2.6991 1.0645 0.066502 0.09455 0.0028515 20.0000 0.006659 11.4113 1.8767 0.038850 1.15782 0.3251 2.4324 0.141239 243.15 4.6515 22.9208 
0.83351 1.7377 0.7405 0.040837 0.14164 0.0070807 20.0000 0.012709 4.6904 5.9626 0.041437 1.27633 0.3562 2.5900 0.133303 243.15 3.9304 36.6247 
1.08928 2.9802 0.3856 0.078983 0.07135 0.0077900 20.0000 0.013149 12.0891 1.8317 0.030827 1.27453 0.4377 0.8225 0.192604 243.15 -3.5044 24.9360 
0.88422 1.7759 0.6783 0.049340 0.07070 0.0020720 20.0000 0.013422 9.7669 1.8897 0.047173 1.42634 0.2563 1.5551 0.116322 243.15 7.8718 20.4530 
0.86101 1.8850 0.1364 0.066400 0.13079 0.0055386 20.0000 0.017334 13.6364 5.8317 0.030972 0.51095 0.2895 1.6284 0.199520 243.15 -21.4471 17.8953 
0.37015 2.9406 1.2333 0.046286 0.07732 0.0040240 20.0000 0.010296 5.6368 4.0599 0.021992 1.97855 0.3967 0.6895 0.144959 243.15 -22.3012 21.5382 
0.80436 3.0368 1.5320 0.073876 0.05583 0.0073663 20.0000 0.012864 15.1256 4.3713 0.038025 0.76478 0.4205 2.1309 0.088344 243.15 4.2979 36.2846 
1.03058 1.9543 1.5544 0.086664 0.05849 0.0029205 20.0000 0.009862 5.6935 1.5473 0.028741 0.99865 0.3066 2.6162 0.178323 243.15 -10.6276 31.2216 
0.89787 2.1886 0.4810 0.074374 0.07672 0.0078104 20.0000 0.019968 5.9257 4.0950 0.020239 1.98695 0.3345 2.2067 0.060051 243.15 -16.2701 38.6349 
